RecordTime,Battery(V),Rate,Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13
41022.29167,10.5,Normal,39.47,47.24,43.25,57.66,42.85,71.6,46.64,18.47,49.14,56.05,55.55,59.37,58.97,
41022.33333,10.5,Normal,40.07,50.14,43.45,59.17,41.26,,46.44,20.53,49.34,56.96,54.65,59.67,58.77,
41022.375,10.5,Normal,41.16,49.54,43.95,56.56,45.84,,46.44,31.45,50.44,59.07,56.35,59.98,60.98,
41022.41667,10.6,Normal,42.46,50.54,45.54,57.26,46.74,,46.84,36.79,51.94,59.07,56.86,60.38,60.88,
41022.45833,10.6,Normal,49.34,49.64,51.44,60.58,49.14,,47.14,36.89,53.54,57.86,57.06,60.78,61.29,
41022.5,10.6,Normal,47.44,50.14,50.94,58.57,50.74,,47.74,36.69,54.45,60.38,58.57,61.18,62.6,
41022.54167,10.6,Normal,46.14,50.44,49.14,60.58,50.34,,47.94,43.25,55.05,60.38,58.97,61.69,63.1,
41022.58333,10.6,Normal,47.04,51.44,49.34,56.15,50.44,,48.34,45.54,55.45,60.58,58.67,61.99,62.8,
41022.625,10.6,Normal,42.26,50.64,43.95,55.95,47.74,,48.94,28.1,53.74,57.46,57.26,61.69,61.99,
41022.66667,10.5,Normal,45.94,46.44,50.34,57.56,43.25,47.34,47.94,24.36,51.04,59.37,54.15,60.68,59.67,69.78
41022.70833,10.5,Normal,45.84,42.85,46.94,52.74,42.75,,46.74,26.91,51.44,57.76,52.64,59.77,60.28,77.71
41022.75,10.5,Normal,45.94,42.85,47.54,57.46,39.37,45.34,46.24,23.08,51.04,57.66,53.94,59.27,56.45,79.54
41022.79167,10.4,Normal,42.06,39.77,44.55,54.15,37.19,70.59,45.14,23.18,50.54,57.36,51.64,58.26,57.66,
41022.83333,10.4,Normal,43.95,40.76,46.94,54.35,35.11,43.85,44.75,20.92,50.04,57.36,52.54,58.87,57.96,
41022.875,10.5,Normal,43.75,41.86,45.34,53.24,34.91,,44.35,24.45,50.34,56.76,51.24,58.47,57.06,58.26
